Consumer,Year,Hour,Mean,Std
B11000631,2013,8,88.50819672131148,11.641338626950184
B11000631,2013,9,112.42622950819673,22.549544722967575
B11000631,2013,10,127.91803278688525,27.946553205459413
B11000631,2013,11,126.22950819672131,27.427719216529198
B11000631,2013,12,123.67213114754098,27.08918684117054
B11000631,2013,13,121.09836065573771,26.40562119324393
B11000631,2013,14,120.65573770491804,25.105700047267913
B11000631,2013,15,124.65573770491804,25.828850307296324
B11000631,2013,16,121.21311475409836,25.261376812635238
B11000631,2013,17,116.8688524590164,23.270493054392627
B11000631,2013,18,104.21311475409836,18.83269741176974
B11000631,2013,19,90.44262295081967,13.258361625987748
B11000631,2013,20,79.18032786885246,6.847160474048862
B11000631,2013,21,69.26229508196721,4.736037863532
B11000631,2013,22,62.40983606557377,3.716526376337309
B11000631,2013,23,60.67213114754098,3.727024333501683
B11000631,2013,24,59.40983606557377,3.4077218645322165
B11000635,2013,1,15.721311475409836,3.225580813543424
B11000635,2013,2,15.081967213114755,3.7295892623147893
B11000635,2013,3,14.327868852459016,3.181830246233604
B11000635,2013,4,13.918032786885245,3.262387070674953
B11000635,2013,5,13.754098360655737,3.1392978923368524
B11000635,2013,6,13.80327868852459,3.1295349608269682
B11000635,2013,7,15.508196721311476,3.020060434382465
B11000635,2013,8,33.721311475409834,15.076616715453751
B11000635,2013,9,68.75409836065573,37.63670891461549
B11000635,2013,10,113.1311475409836,63.707266830358805
B11000635,2013,11,129.50819672131146,72.97068428504232
B11000635,2013,12,128.59016393442624,72.25680522718497
B11000635,2013,13,82.24590163934427,44.49706197705826
B11000635,2013,14,118.0327868852459,68.25270866740132
B11000635,2013,15,123.8360655737705,71.17096325699802
B11000635,2013,16,113.26229508196721,64.0088279430643
B11000635,2013,17,102.75409836065573,58.3342825840017
B11000635,2013,18,73.37704918032787,38.97484827185614
B11000635,2013,19,41.721311475409834,21.056377614665017
B11000635,2013,20,29.37704918032787,13.483525669529994
B11000635,2013,21,23.475409836065573,8.969590398260575
B11000635,2013,22,19.40983606557377,5.373940358124343
B11000635,2013,23,17.016393442622952,4.63498221240272
B11000635,2013,24,15.737704918032787,3.8553064700672075
B11000674,2013,1,85.52459016393442,11.355771744472865
B11000674,2013,2,96.08196721311475,9.409738009047176
B11000674,2013,3,90.24590163934427,7.428897939140361
B11000674,2013,4,91.59016393442623,6.761107032580606
B11000674,2013,5,82.77049180327869,7.834524964588792
B11000674,2013,6,93.8360655737705,7.190689183170258
B11000674,2013,7,122.44262295081967,8.407386811932973
B11000674,2013,8,137.36065573770492,8.514757359794514
B11000674,2013,9,135.80327868852459,11.145731129197921
B11000674,2013,10,175.85245901639345,14.737521349233923
B11000674,2013,11,189.59016393442624,12.974817980971613
B11000674,2013,12,190.47540983606558,11.7425246538341
B11000674,2013,13,190.9672131147541,11.725992798216497
B11000674,2013,14,203.45901639344262,18.555838048524247
B11000674,2013,15,204.62295081967213,15.873630055773035
B11000674,2013,16,203.63934426229508,21.586286377300787
B11000674,2013,17,197.0,15.096357176484664
B11000674,2013,18,196.65573770491804,16.16053345437751
B11000674,2013,19,193.68852459016392,11.752362859735282
B11000674,2013,20,199.91803278688525,10.594487689308393
B11000674,2013,21,189.0327868852459,9.563763577718335
B11000674,2013,22,109.44262295081967,11.96735084882188
B11000674,2013,23,88.26229508196721,11.793927306519887
B11000674,2013,24,88.39344262295081,11.132952122003385
B11000676,2013,1,20.278688524590162,1.1850618484701352
B11000676,2013,2,19.868852459016395,1.3598457000221944
B11000676,2013,3,19.885245901639344,1.1985875111388085
B11000676,2013,4,19.983606557377048,1.0565952122847002
B11000676,2013,5,20.0327868852459,1.494068417830479
B11000676,2013,6,35.42622950819672,15.11341458924647
B11000676,2013,7,62.114754098360656,44.7906606190233
B11000676,2013,8,72.11475409836065,47.739605626305625
B11000676,2013,9,91.22950819672131,54.68345070879091
B11000676,2013,10,102.40983606557377,59.81454033069784
B11000676,2013,11,102.49180327868852,57.13569314967649
B11000676,2013,12,103.0,58.01982419828588
B11000676,2013,13,102.68852459016394,58.093757835533
B11000676,2013,14,102.57377049180327,56.477564576975595
B11000676,2013,15,103.06557377049181,57.401181420030895
B11000676,2013,16,97.22950819672131,55.42153415494226
B11000676,2013,17,93.65573770491804,51.83688688115881
B11000676,2013,18,88.08196721311475,49.121378605099984
B11000676,2013,19,72.85245901639344,41.14804007708985
B11000676,2013,20,48.09836065573771,23.888424615304647
B11000676,2013,21,37.47540983606557,15.968308778511945
B11000676,2013,22,28.42622950819672,10.512625768400971
B11000676,2013,23,23.327868852459016,5.6560330959528216
B11000676,2013,24,20.83606557377049,1.7433715215911616
B11000677,2013,1,32.032786885245905,1.741332948392831
B11000677,2013,2,31.442622950819672,1.2318629545520938
B11000677,2013,3,30.918032786885245,1.3076069996653317
B11000677,2013,4,31.40983606557377,1.3463165697602213
B11000677,2013,5,31.557377049180328,1.2044997601208343
B11000677,2013,6,34.278688524590166,1.7236699949137946
B11000677,2013,7,40.0,6.107372593840988
B11000677,2013,8,48.59016393442623,13.872487218928848
B11000677,2013,9,96.62295081967213,34.407442961480605
B11000677,2013,10,126.31147540983606,30.913072199101876
B11000677,2013,11,134.27868852459017,33.12256589675231
B11000677,2013,12,134.44262295081967,31.9778697383904
B11000677,2013,13,132.91803278688525,31.320012282866475
B11000677,2013,14,133.80327868852459,32.691905049074535
B11000677,2013,15,137.08196721311475,32.386362912995345
B11000677,2013,16,137.9672131147541,32.49664968019255
B11000677,2013,17,139.45901639344262,32.71471318866166
B11000677,2013,18,146.55737704918033,33.046696552083155
B11000677,2013,19,148.75409836065575,33.695526774190135
B11000677,2013,20,139.29508196721312,50.24551199271271
B11000677,2013,21,130.59016393442624,51.037364433383615
B11000677,2013,22,114.14754098360656,53.31161101347866
B11000677,2013,23,90.24590163934427,42.17647675253151
B11000677,2013,24,40.868852459016395,7.005891353796616
B11000678,2013,1,52.885245901639344,3.391648373361335
B11000678,2013,2,51.278688524590166,3.540862171566805
B11000678,2013,3,50.60655737704918,3.6481899097341874
B11000678,2013,4,49.36065573770492,4.183430756708526
B11000678,2013,5,41.83606557377049,4.528356316475301
B11000678,2013,6,34.377049180327866,4.2432846334973
B11000678,2013,7,29.40983606557377,3.9301274329650258
B11000678,2013,8,21.721311475409838,4.21952267261351
B11000678,2013,9,18.885245901639344,4.468774480234067
B11000678,2013,10,23.40983606557377,6.367566382798397
B11000678,2013,11,38.47540983606557,3.8453719255621603
B11000678,2013,12,45.68852459016394,3.998086974235542
B11000678,2013,13,48.31147540983606,4.2682587535065455
B11000678,2013,14,50.01639344262295,5.1071577329557405
B11000678,2013,15,49.59016393442623,5.027845957532669
B11000678,2013,16,50.67213114754098,5.0488325762015185
B11000678,2013,17,54.049180327868854,3.8272106008954556
B11000678,2013,18,56.57377049180328,5.716814428780661
B11000678,2013,19,56.34426229508197,5.864825220190963
B11000678,2013,20,57.18032786885246,4.326307882098821
B11000678,2013,21,56.65573770491803,4.508825589521212
B11000678,2013,22,57.131147540983605,3.4855674326956936
B11000678,2013,23,55.950819672131146,4.1770253750254565
B11000678,2013,24,54.19672131147541,4.392492352985746
B11000679,2013,1,41.459016393442624,9.603078968906802
B11000679,2013,2,33.967213114754095,6.4186374803243975
B11000679,2013,3,29.360655737704917,4.725931255266859
B11000679,2013,4,28.57377049180328,3.748150727996597
B11000679,2013,5,28.131147540983605,3.247950173242941
B11000679,2013,6,25.62295081967213,2.9164129475906386
B11000679,2013,7,25.42622950819672,3.2835905976712065
