Consumer,Hour,Mean,Std
B11000922,17,105.47540983606558,12.349562356853173
B11000922,18,102.47540983606558,12.94453053353708
B11000922,19,98.19672131147541,13.325459020336242
B11000922,20,92.8360655737705,11.854556193847037
B11000922,21,89.01639344262296,10.258130407231148
B11000922,22,87.55737704918033,10.182795825560238
B11000922,23,86.24590163934427,9.728537938280072
B11000922,24,85.54098360655738,9.094357412013022
B11000923,1,8.819672131147541,6.400584493600184
B11000923,2,8.442622950819672,5.949306586303478
B11000923,3,8.39344262295082,5.943114733749566
B11000923,4,8.360655737704919,5.942436401820402
B11000923,5,10.01639344262295,6.001343574372485
B11000923,6,10.39344262295082,5.9320709029417
B11000923,7,10.40983606557377,5.948900020048692
B11000923,8,11.901639344262295,8.003492921961927
B11000923,9,26.688524590163933,21.807308884270554
B11000923,10,64.73770491803279,7.677733697687017
B11000923,11,72.77049180327869,7.393824278615741
B11000923,12,74.65573770491804,7.249387189254404
B11000923,13,75.24590163934427,6.958084666043766
B11000923,14,75.88524590163935,7.181712569529337
B11000923,15,76.72131147540983,6.801955233706241
B11000923,16,77.29508196721312,6.919547654823958
B11000923,17,79.45901639344262,6.637137864510436
B11000923,18,92.88524590163935,6.412330234625556
B11000923,19,92.50819672131148,6.166070435620926
B11000923,20,91.8688524590164,5.971175049354603
B11000923,21,68.63934426229508,9.057254653872223
B11000923,22,26.475409836065573,18.40046912924496
B11000923,23,11.655737704918034,10.370015485866112
B11000923,24,8.754098360655737,6.058879779880642
B11000926,1,2.9836065573770494,0.22115963218413184
B11000926,2,2.9508196721311477,0.28204345137844683
B11000926,3,2.9836065573770494,0.22115963218413184
B11000926,4,2.9672131147540983,0.3119065178760729
B11000926,5,3.0327868852459017,0.17807836870820026
B11000926,6,3.0327868852459017,0.17807836870820026
B11000926,7,2.8360655737704916,0.4501485317293764
B11000926,8,2.80327868852459,0.4728591836674085
B11000926,9,7.360655737704918,5.453327415246303
B11000926,10,30.704918032786885,3.364931306609306
B11000926,11,33.60655737704918,3.707673427731719
B11000926,12,34.131147540983605,3.681924878958998
B11000926,13,34.98360655737705,4.0871321593295535
B11000926,14,35.22950819672131,4.102751745996469
B11000926,15,35.67213114754098,3.7622861530663005
B11000926,16,35.80327868852459,3.7452469205785612
B11000926,17,36.31147540983606,3.969312545701195
B11000926,18,39.16393442622951,4.117855274444921
B11000926,19,42.52459016393443,2.061406152081069
B11000926,20,42.885245901639344,2.0252371701284986
B11000926,21,29.16393442622951,7.609701159270645
B11000926,22,8.557377049180328,6.562498000409212
B11000926,23,3.4098360655737703,1.529781396365666
B11000926,24,3.0327868852459017,0.17807836870820026
B11000927,1,14.950819672131148,13.596559629346206
B11000927,2,14.967213114754099,13.451756193608587
B11000927,3,14.934426229508198,13.33166925027231
B11000927,4,14.950819672131148,13.436464002925327
B11000927,5,14.967213114754099,13.439563826249273
B11000927,6,15.21311475409836,13.383516597957916
B11000927,7,15.065573770491802,13.439443846390953
B11000927,8,15.180327868852459,13.417028813697312
B11000927,9,26.721311475409838,20.06475676039465
B11000927,10,238.14754098360655,36.4636967747077
B11000927,11,295.2950819672131,35.71166143850212
B11000927,12,302.55737704918033,35.77182909853164
B11000927,13,307.5081967213115,33.916301487400595
B11000927,14,309.78688524590166,32.92122478155968
B11000927,15,310.7704918032787,31.213906864174223
B11000927,16,311.21311475409834,29.099667483931082
B11000927,17,313.1803278688525,28.17131909521869
B11000927,18,313.95081967213116,26.511009917940154
B11000927,19,325.73770491803276,25.99489334424168
B11000927,20,323.26229508196724,25.32600661624413
B11000927,21,315.1311475409836,23.71723825588528
B11000927,22,221.14754098360655,20.57440401349734
B11000927,23,69.42622950819673,42.54311564827005
B11000927,24,20.475409836065573,21.053878235765985
B11000929,1,29.147540983606557,24.861475936808684
B11000929,2,28.78688524590164,24.25014095216657
B11000929,3,27.557377049180328,22.515222238840796
B11000929,4,27.295081967213115,22.11767653161642
B11000929,5,25.19672131147541,17.96336862064076
B11000929,6,23.75409836065574,16.550623521219517
B11000929,7,21.852459016393443,9.970178592500394
B11000929,8,22.885245901639344,4.842091272410306
B11000929,9,50.90163934426229,18.85119026379318
B11000929,10,112.98360655737704,12.43407771537914
B11000929,11,148.91803278688525,13.221065012490438
B11000929,12,154.72131147540983,16.141922963778413
B11000929,13,156.98360655737704,14.205161614742037
B11000929,14,158.39344262295083,14.728447647853466
B11000929,15,160.0327868852459,13.83624038425813
B11000929,16,159.65573770491804,13.528216106093533
B11000929,17,158.63934426229508,12.616711253282155
B11000929,18,156.29508196721312,11.210861627720874
B11000929,19,159.9672131147541,8.48521803020735
B11000929,20,158.2295081967213,9.300790452258243
B11000929,21,94.21311475409836,13.309819811442264
B11000929,22,53.622950819672134,25.142977336136035
B11000929,23,33.21311475409836,25.78226277705012
B11000929,24,29.65573770491803,25.17277038226199
B11000954,1,36.459016393442624,3.860577424286628
B11000954,2,32.50819672131148,3.7749083185899686
B11000954,3,23.327868852459016,2.5589528562490633
B11000954,4,20.57377049180328,2.4391547608394974
B11000954,5,19.311475409836067,3.30692757016439
B11000954,6,18.262295081967213,2.2825183054175002
B11000954,7,18.491803278688526,2.440256307551858
B11000954,8,19.950819672131146,2.153352167585645
B11000954,9,22.442622950819672,2.1992889325083205
B11000954,10,28.147540983606557,3.367326446286627
B11000954,11,33.09836065573771,3.606482860631089
B11000954,12,35.19672131147541,3.3866646493154393
B11000954,13,36.65573770491803,3.5152373046852
B11000954,14,36.032786885245905,3.4639464516871317
B11000954,15,34.68852459016394,3.4190449419346765
